id	standard.dye	Dye1	Dye2	Dye3	Dye4	Dye5	analysis_type	ladder
xfra	ROX	5000	100	100	100	100	amplidex_xfra	ROX1000
paternity	LIZ	900	900	900	900	500	paternity_v17	ILS500

